Date	EV Percent of Market Share
1/1/11	0.01
2/1/11	0.01
3/1/11	0.02
4/1/11	0.05
5/1/11	0.11
6/1/11	0.16
7/1/11	0.09
8/1/11	0.13
9/1/11	0.1
10/1/11	0.08
11/1/11	0.08
12/1/11	0.1
1/1/12	0.09
2/1/12	0.06
3/1/12	0.07
4/1/12	0.04
5/1/12	0.05
6/1/12	0.07
7/1/12	0.04
8/1/12	0.07
9/1/12	0.11
10/1/12	0.21
11/1/12	0.23
12/1/12	0.2
1/1/13	0.23
2/1/13	0.22
3/1/13	0.31
4/1/13	0.34
5/1/13	0.31
6/1/13	0.33
7/1/13	0.3
8/1/13	0.33
9/1/13	0.32
10/1/13	0.31
11/1/13	0.32
12/1/13	0.35
1/1/14	0.29
2/1/14	0.28
3/1/14	0.3
4/1/14	0.3
5/1/14	0.36
6/1/14	0.35
7/1/14	0.4
8/1/14	0.41
9/1/14	0.48
10/1/14	0.46
11/1/14	0.47
12/1/14	0.49
1/1/15	0.35
2/1/15	0.35
3/1/15	0.37
4/1/15	0.41
5/1/15	0.43
6/1/15	0.47
7/1/15	0.34
8/1/15	0.33
9/1/15	0.46
10/1/15	0.39
11/1/15	0.46
12/1/15	0.48
1/1/16	0.31
2/1/16	0.33
3/1/16	0.45
4/1/16	0.42
5/1/16	0.42
6/1/16	0.52
7/1/16	0.51
8/1/16	0.57
9/16/16	0.7
10/1/16	0.39
11/1/16	0.45
12/1/16	0.77
1/1/17	0.47
2/1/17	0.44
3/1/17	0.65
4/1/17	0.42
5/1/17	0.53
6/1/17	0.6
7/1/17	0.55
8/1/17	0.6
9/1/17	0.88
10/1/17	0.5
11/1/17	0.6
12/1/17	0.93
1/1/18	0.79
2/1/18	0.51
3/1/18	0.67
4/1/18	0.94
5/1/18	0.77
6/1/18	0.84
7/1/18	1.13
8/1/18	1.36
9/1/18	1.68
10/1/18	2.2
11/1/18	1.73
12/1/18	1.73
1/1/19	2.35
2/1/19	0.84
3/1/19	1.08
4/1/19	1.51
5/1/19	1.13
6/1/19	1.55
7/1/19	1.69
8/1/19	1.14
9/1/19	1.72
10/1/19	1.73
11/1/19	0.81
12/1/19	1.21
1/1/20	2.33
2/1/20	0.82
3/1/20	1.84
4/1/20	1.13
5/1/20	0.77
6/1/20	1.53
7/1/20	1.87
8/1/20	1.31
9/1/20	2.1
10/1/20	2.2
11/1/20	1.85
12/1/20	1.78
1/1/21	2.27
2/1/21	2.2
3/1/21	2.55
4/1/21	2.21
5/1/21	1.9
6/1/21	3.53
7/1/21	3.28
8/1/21	3.25
9/1/21	4.14
10/1/21	4.04
11/1/21	4.6
12/1/21	4.11
1/1/22	4.34
2/1/22	4.48
3/1/22	4.82
4/1/22	4.94
5/1/22	5.16
6/1/22	5.24
7/1/22	5.72
8/1/22	5.3
9/1/22	6.23
10/1/22	5.92
11/1/22	5.52
12/1/22	6.26
