,Date,EV Percent of Market Share
0,2011-01-01,0.01
1,2011-02-01,0.01
2,2011-03-01,0.02
3,2011-04-01,0.05
4,2011-05-01,0.11
5,2011-06-01,0.16
6,2011-07-01,0.09
7,2011-08-01,0.13
8,2011-09-01,0.1
9,2011-10-01,0.08
10,2011-11-01,0.08
11,2011-12-01,0.1
12,2012-01-01,0.09
13,2012-02-01,0.06
14,2012-03-01,0.07
15,2012-04-01,0.04
16,2012-05-01,0.05
17,2012-06-01,0.07
18,2012-07-01,0.04
19,2012-08-01,0.07
20,2012-09-01,0.11
21,2012-10-01,0.21
22,2012-11-01,0.23
23,2012-12-01,0.2
24,2013-01-01,0.23
25,2013-02-01,0.22
26,2013-03-01,0.31
27,2013-04-01,0.34
28,2013-05-01,0.31
29,2013-06-01,0.33
30,2013-07-01,0.3
31,2013-08-01,0.33
32,2013-09-01,0.32
33,2013-10-01,0.31
34,2013-11-01,0.32
35,2013-12-01,0.35
36,2014-01-01,0.29
37,2014-02-01,0.28
38,2014-03-01,0.3
39,2014-04-01,0.3
40,2014-05-01,0.36
41,2014-06-01,0.35
42,2014-07-01,0.4
43,2014-08-01,0.41
44,2014-09-01,0.48
45,2014-10-01,0.46
46,2014-11-01,0.47
47,2014-12-01,0.49
48,2015-01-01,0.35
49,2015-02-01,0.35
50,2015-03-01,0.37
51,2015-04-01,0.41
52,2015-05-01,0.43
53,2015-06-01,0.47
54,2015-07-01,0.34
55,2015-08-01,0.33
56,2015-09-01,0.46
57,2015-10-01,0.39
58,2015-11-01,0.46
59,2015-12-01,0.48
60,2016-01-01,0.31
61,2016-02-01,0.33
62,2016-03-01,0.45
63,2016-04-01,0.42
64,2016-05-01,0.42
65,2016-06-01,0.52
66,2016-07-01,0.51
67,2016-08-01,0.57
68,2016-09-16,0.7
69,2016-10-01,0.39
70,2016-11-01,0.45
71,2016-12-01,0.77
72,2017-01-01,0.47
73,2017-02-01,0.44
74,2017-03-01,0.65
75,2017-04-01,0.42
76,2017-05-01,0.53
77,2017-06-01,0.6
78,2017-07-01,0.55
79,2017-08-01,0.6
80,2017-09-01,0.88
81,2017-10-01,0.5
82,2017-11-01,0.6
83,2017-12-01,0.93
84,2018-01-01,0.79
85,2018-02-01,0.51
86,2018-03-01,0.67
87,2018-04-01,0.94
88,2018-05-01,0.77
89,2018-06-01,0.84
90,2018-07-01,1.13
91,2018-08-01,1.36
92,2018-09-01,1.68
93,2018-10-01,2.2
94,2018-11-01,1.73
95,2018-12-01,1.73
96,2019-01-01,2.35
97,2019-02-01,0.84
98,2019-03-01,1.08
99,2019-04-01,1.51
100,2019-05-01,1.13
101,2019-06-01,1.55
102,2019-07-01,1.69
103,2019-08-01,1.14
104,2019-09-01,1.72
105,2019-10-01,1.73
106,2019-11-01,0.81
107,2019-12-01,1.21
108,2020-01-01,2.33
109,2020-02-01,0.82
110,2020-03-01,1.84
111,2020-04-01,1.13
112,2020-05-01,0.77
113,2020-06-01,1.53
114,2020-07-01,1.87
115,2020-08-01,1.31
116,2020-09-01,2.1
117,2020-10-01,2.2
118,2020-11-01,1.85
119,2020-12-01,1.78
120,2021-01-01,2.27
121,2021-02-01,2.2
122,2021-03-01,2.55
123,2021-04-01,2.21
124,2021-05-01,1.9
125,2021-06-01,3.53
126,2021-07-01,3.28
127,2021-08-01,3.25
128,2021-09-01,4.14
129,2021-10-01,4.04
130,2021-11-01,4.6
131,2021-12-01,4.11
132,2022-01-01,4.34
133,2022-02-01,4.48
134,2022-03-01,4.82
135,2022-04-01,4.94
136,2022-05-01,5.16
137,2022-06-01,5.24
138,2022-07-01,5.72
139,2022-08-01,5.3
140,2022-09-01,6.23
141,2022-10-01,5.92
142,2022-11-01,5.52
143,2022-12-01,6.26
