,Date,New Car Average,Average EV Price,New Car Price Change,EV Price Change
0,1/1/20,38747,54669,0%,0%
1,2/1/20,38550,56326,-0.51%,3.03%
2,3/1/20,38812,56059,0.68%,-0.47%
3,4/1/20,39904,57757,2.81%,3.03%
4,5/1/20,39138,58863,-1.92%,1.91%
5,6/1/20,39731,57480,1.52%,-2.35%
6,7/1/20,39512,57346,-0.55%,-0.23%
7,8/1/20,39571,57346,0.15%,0.00%
8,9/1/20,40159,54381,1.49%,-5.17%
9,10/1/20,40770,52947,1.52%,-2.64%
10,11/1/20,40937,53117,0.41%,0.32%
11,12/1/20,41335,53811,0.97%,1.31%
12,1/1/21,41248,57750,-0.21%,7.32%
13,2/1/21,41366,57491,0.29%,-0.45%
14,3/1/21,40680,56503,-1.66%,-1.72%
15,4/1/21,41172,56059,1.21%,-0.79%
16,5/1/21,41534,56140,0.88%,0.14%
17,6/1/21,42633,58914,2.65%,4.94%
18,7/1/21,43056,56110,0.99%,-4.76%
19,8/1/21,43418,57540,0.84%,2.55%
20,9/1/21,45031,56312,3.72%,-2.13%
21,10/1/21,46026,55625,2.21%,-1.22%
22,11/1/21,46329,56437,0.66%,1.46%
23,12/1/21,47243,63821,1.97%,13.08%
24,1/1/22,46404,62876,-1.78%,-1.48%
25,2/1/22,46082,64807,-0.69%,3.07%
26,3/1/22,46223,66386,0.31%,2.44%
27,4/1/22,46676,65094,0.98%,-1.95%
28,5/1/22,47275,64553,1.28%,-0.83%
29,6/1/22,48043,66997,1.62%,3.79%
30,7/1/22,48182,66645,0.29%,-0.53%
31,8/1/22,48301,66524,0.25%,-0.18%
32,9/1/22,48094,65291,-0.43%,-1.85%
33,10/1/22,48281,64249,0.39%,-1.60%
34,11/1/22,49121,65372,1.74%,1.75%
35,12/1/22,49517,65805,0.81%,0.66%
