created_at,text,keyword
2023-04-23 16:52:00+00:00,"New Post: I Love How Tesla Wreaks Havoc among Automakers with Massive Price Cuts, Huge Sales Growth, Even Huger Production Growth, and Overcapacity https://t.co/wiefp89nJv",love AND tesla
2023-04-23 16:51:26+00:00,@garyblack00 @elonmusk That's not a fair question at all ... I love my FSD equipped Tesla Model 3 and have a Cybertruck on order while at the same time cannot stand the insufferable tripe that a halfwitted political amateur spews out on a once very enjoyable media platform ...,love AND tesla
2023-04-23 16:51:25+00:00,"YOUR DEFINITIVE SUNDAY READ.

Very BALANCED &amp; well written. This is not a cheerleader article in favor of any one OEM but rather a rebuke to greed that’s made OEMs enemies of US workers.

https://t.co/LCWszxnIVn

ht @PaulJohnMas https://t.co/K3iv0hxwCQ",love AND tesla
2023-04-23 16:49:53+00:00,@EvasTeslaSPlaid @Tesla Classy and sporty. I love it,love AND tesla
2023-04-23 16:46:28+00:00,@elonmusk @MarioNawfal Love you Elon waiting for the Tesla phone. When we get through this economic situation my fiancé and I want to put a Tesla roof on our home. Keep up the good work bro.,love AND tesla
2023-04-23 16:42:57+00:00,I love how Tesla basically shitposted in his notes and today people take some of his doodling seriously. https://t.co/Ezz6TT8KiL,love AND tesla
2023-04-23 16:42:33+00:00,@Tesla_Dawg 😂😂 love it ❤️,love AND tesla
2023-04-23 16:40:26+00:00,"@F9Block5 @Tesla Love that entire area! So many nice shops and restaurants 

Perfect location for a Tesla store",love AND tesla
2023-04-23 16:39:14+00:00,"@SebGorka @laurenfix I love you Sebastian. But your guest is dead wrong. Every garage on earth has an EV charger built in. I wake up everyday with a full battery of 300 mile range. I’ve been driving a Tesla for 7 years and it’s so much easier than gas. 
Is it saving the planet? No. But it’s so damn… https://t.co/fHtstphJX2",love AND tesla
2023-04-23 16:38:22+00:00,"YOUR DEFINITIVE SUNDAY READ.

Very BALANCED &amp; well written. This is not a cheerleader article in favor of any one OEM but rather a rebuke to greed that’s made OEMs enemies of US workers.

https://t.co/LCWszxnIVn

ht Paul Mas https://t.co/FX7puhl9Mr",love AND tesla
2023-04-23 16:35:44+00:00,@danjeggers @Tesla Glad you're OK! Jealous about the no-gas part... I'd love a Tesla someday haha,love AND tesla
2023-04-23 16:35:21+00:00,@MarioNawfal Tesla investors have had to deal with this since 2014. This is the 4th love/hate Elon Musk cycle that I can remember hahahaha,love AND tesla
2023-04-23 16:34:22+00:00,@AnupamMittal @NeerajVashisht_ But I love tesla,love AND tesla
2023-04-23 16:26:42+00:00,"@jeremyjudkins_ i love tesla, but you’re right, this is just a fact",love AND tesla
2023-04-23 16:26:12+00:00,"Never give in &amp; never give up | #hodl #elonmusk 💯 “Elon , would you kindly gift me a Tesla ! i love your work but can one have dream car he can’t ever afford ? @elonmusk help https://t.co/td9xuZbn9s @opensea #nft #nfts #nftart #wagmi #opensea 🐳 🔱 🧜‍♀️ #digitalart #cannaapesclub",love AND tesla
2023-04-23 16:23:06+00:00,@petekruse @Tesla Good man. I was in an accident a month ago in one and after seeing how it held up I decided to get it again.  Love driving it and enjoy not buying gas. https://t.co/H0tW6kM34a,love AND tesla
2023-04-23 16:19:51+00:00,@micsolana It’s like driving a Tesla: you only love them if you have one.,love AND tesla
2023-04-23 16:05:21+00:00,"I love electric cars, but here are my five reasons not to buy a Tesla | Motors News | Sun | 23 Apr | 17:05 | BST https://t.co/zl0Wth5SNb",love AND tesla
2023-04-23 16:04:06+00:00,@Kristennetten Love how they used a level.. because that matters 😂,love AND tesla
2023-04-23 15:57:51+00:00,@huntlatham Exactly. I got Tesla cus I’m a techy nerd who loves fast cars. And I don’t want to rely on gas stations. I’d love to have solar so I could remove my dependency on electric and gas companies. I didn’t buy a Tesla for the environment 🤣,love AND tesla
2023-04-23 15:56:13+00:00,"I love my @roborockglobal  robot vacuum 

Same vibes as buying a Tesla after coming from legacy. https://t.co/RuLFXiAIE5",love AND tesla
2023-04-23 15:54:22+00:00,"I would love to be able to send a ""Hey! 🖖🤪"" reaction to another @Tesla driver passing by. WDYT @elonmusk? 😃 https://t.co/IRwZooRhc1",love AND tesla
2023-04-23 15:51:45+00:00,@ChargeGoGroup Tesla Model 3.  Because I've had it 5 years and love it.  That's why.,love AND tesla
2023-04-23 15:50:59+00:00,"Amen!
My Tesla dream will happen this year in Jesus name!
My mom will get more than hearts desire!

I love you so much Ann.
So much 🫣 https://t.co/D8NdhW16jH",love AND tesla
2023-04-23 15:50:36+00:00,"How It Feels To Be Tesla Owner @nowteslafy @DriveTeslaca @Tesla @RealTeslaNorth @TeslaOwnersUK @Teslaconomics  this channel is about Tesla, make sure to SUBSCRIBE my channel if you love Tesla's 🚗 https://t.co/uBK9dba4e5",love AND tesla
2023-04-23 15:48:31+00:00,@DavidHe05040052 @TeslaCharging @Tesla Yes! I think you’ll love it,love AND tesla
2023-04-23 15:47:42+00:00,"@reneescool1 @EvasTeslaSPlaid @elonmusk By the way. I'm not your everyday Elon hater. I'm a huge supporter of SpaceX and Tesla. I actually love what he's doing in those spaces.

But this is a specific case where he needs to stop and think about what he's doing.",love AND tesla
2023-04-23 15:47:14+00:00,@Tesla Love mine! ❤️ https://t.co/KEWqOOCsix,love AND tesla
2023-04-23 15:41:19+00:00,@AshleyDCan Thank you Love!!! Keep on loving!!!,love AND tesla
2023-04-23 15:40:47+00:00,@Common_sense77 @MrColionNoir @Porsche @elonmusk I agree with you.  I love my Tesla but I disagree with the government talking money from one tax payer to hand to another to buy an electric car.  Let the market decide.,love AND tesla
2023-04-23 15:37:59+00:00,"@Tesla_CatGirl Beautifully exhausting, sounds fun! Love it!",love AND tesla
2023-04-23 15:22:20+00:00,@garyblack00 @elonmusk Best place to use an EV; city driving.  Places you can't install a wall charger... people who live in high density cities.  I love tesla cars but the fact that people who live in places like manhattan can't charge at home is a major problem for the adoption.   Tesla would be… https://t.co/uMw3kakz4l,love AND tesla
2023-04-23 15:16:42+00:00,"@BillsR_Electric @worldgirl09 @SawyerMerritt @Tesla I've owned my pickup for 18+ years and my Jeep for 13 years....same engines no problems and love the fill and go idea.   Never in my life have I been impressed with battery life in my tools, toys and machines. No F'ing way do I want to join that misery of battery replacement.",love AND tesla
2023-04-23 15:16:28+00:00,@dakotaco21 @elonmusk @Tesla @pshoover @trav_is_jackson Would be such a cool idea. I’d love to develop something like that.,love AND tesla
2023-04-23 15:14:16+00:00,@LovecraftLuci Love OMD. Tesla Girls is my fave,love AND tesla
